Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
10/2014,0,0,0,1,0
07/2014,0,0,0,1,0
09/2014,1,0,0,0,0
08/2014,0,1,0,0,0
01/2014,0,0,1,0,0
06/2014,1,0,0,0,0
04/2014,0,0,0,1,0
05/2014,1,0,0,0,0
03/2014,0,0,0,1,0
02/2014,0,0,0,1,0
53/2013,0,0,0,1,0
35/2013,0,0,0,1,0
52/2013,0,0,0,1,0
51/2013,0,0,0,1,0
34/2013,1,0,0,0,0
50/2013,0,0,0,1,0
33/2013,1,0,0,0,0
49/2013,1,0,0,0,0
32/2013,1,0,0,0,0
48/2013,1,0,0,0,0
31/2013,0,0,0,1,0
19/11/13,0,1,0,0,0
47/2013,0,0,0,1,0
30/2013,0,0,0,1,0
29/2013,0,0,0,1,0
46/2013,1,0,0,0,0
28/2013,0,0,0,1,0
45/2013,1,0,0,0,0
44/2013,0,0,0,0,1
43/2013,0,0,0,0,1
26/2013,0,0,0,1,0
42/2013,0,0,0,0,1
41/2013,0,0,0,0,1
24/2013,1,0,0,0,0
23/2013,1,0,0,0,0
40/2013,0,0,0,0,1
39/2013,0,0,0,0,1
22/2013,1,0,0,0,0
38/2013,0,0,0,0,1
21/2013,1,0,0,0,0
37/2013,0,0,0,0,1
20/2013,1,0,0,0,0
36/2013,0,0,0,0,1
19/2013,1,0,0,0,0
18/2013,1,0,0,0,0
17/2013,1,0,0,0,0
16/2013,0,0,0,1,0
15/2013,0,0,0,1,0
14/2013,0,0,0,1,0
13/2013,0,0,0,1,0
12/2013,0,0,0,1,0
11/2013,1,0,0,0,0
10/2013,0,0,0,1,0
27/2013,0,0,0,1,0
09/2013,0,0,0,1,0
08/2013,0,0,0,1,0
25/2013,0,0,0,0,1
07/2013,1,0,0,0,0
06/2013,1,0,0,0,0
05/2013,1,0,0,0,0
04/2013,0,0,0,1,0
03/2012,0,0,0,1,0
02/2013,0,0,0,1,0
01/2013,0,0,0,1,0
9/2013,1,0,0,0,0
8/2013,1,0,0,0,0
7/2013,1,0,0,0,0
6/2013,1,0,0,0,0
5/2013,0,0,0,0,1
4/2013,0,0,0,1,0
3/2013,0,0,0,1,0
2/2013,0,0,0,1,0
1/2013,0,0,0,1,0
46/2012,1,0,0,0,0
45/2012,1,0,0,0,0
44/2012,1,0,0,0,0
43/2012,1,0,0,0,0
42/2012,1,0,0,0,0
41/2012,1,0,0,0,0
40/2012,1,0,0,0,0
39/2012,1,0,0,0,0
38/2012,0,0,0,1,0
37/2012,0,0,0,1,0
36/2012,0,0,0,1,0
35/2012,0,1,0,0,0
34/2012,1,0,0,0,0
33/2012,0,1,0,0,0
32/2012,0,1,0,0,0
31/2012,0,1,0,0,0
30/2012,0,0,0,1,0
29/2012,0,0,0,1,0
28/2012,1,0,0,0,0
27/08/2012,0,1,0,0,0
26/2012,1,0,0,0,0
25/2012,0,1,0,0,0
24/2012,1,0,0,0,0
23/2012,1,0,0,0,0
22/2012,1,0,0,0,0
21/2012,1,0,0,0,0
20/2012,1,0,0,0,0
19/2012,0,1,0,0,0
18/2012,0,1,0,0,0
17/2012,0,1,0,0,0
16/2012,0,1,0,0,0
15/2012,1,0,0,0,0
14/2012,1,0,0,0,0
13/2012,1,0,0,0,0
12/2012,1,0,0,0,0
11/2012,1,0,0,0,0
10/2012,1,0,0,0,0
9/2012,1,0,0,0,0
8/2012,0,0,0,1,0
7/2012,0,0,0,1,0
6/2012,0,0,0,1,0
5/2012,1,0,0,0,0
4/2012,1,0,0,0,0
3/2012,1,0,0,0,0
2/2012,1,0,0,0,0
1/2012,1,0,0,0,0
46/2011,1,0,0,0,0
45/2011,1,0,0,0,0
44/2011,0,1,0,0,0
43/2011,1,0,0,0,0
42/2011,1,0,0,0,0
41/2011,1,0,0,0,0
40/2011,0,1,0,0,0
39/2011,0,1,0,0,0
38/2011,0,1,0,0,0
37/2011,0,1,0,0,0
36/2011,0,1,0,0,0
35/2011,0,1,0,0,0
34/2011,1,0,0,0,0
33/2011,0,1,0,0,0
32/2011,1,0,0,0,0
31/2011,1,0,0,0,0
30/2011,1,0,0,0,0
29/2011,1,0,0,0,0
28/2011,1,0,0,0,0
27/2011,1,0,0,0,0
26/2011,1,0,0,0,0
25/2011,0,0,0,1,0
24/2011,0,0,0,1,0
23/2011,0,0,0,1,0
22/2011,0,0,0,1,0
42/2010,1,0,0,0,0
41/2010,1,0,0,0,0
40/2010,1,0,0,0,0
39/2010,1,0,0,0,0
38/2010,1,0,0,0,0
37/2010,1,0,0,0,0
36/2010,0,0,0,1,0
35/2010,0,0,0,1,0
34/2010,0,0,0,1,0
32/2010,0,0,0,1,0
31/2010,0,0,0,1,0
30/2010,0,1,0,0,0
29/2010,0,1,0,0,0
28/2010,0,1,0,0,0
27/2010,0,1,0,0,0
26/2010,0,1,0,0,0
25/2010,0,1,0,0,0
24/2010,0,1,0,0,0
23/2010,1,0,0,0,0
22/2010,0,0,0,1,0
21/2010,0,0,0,1,0
20/2010,0,0,0,1,0
19/2010,0,0,0,1,0
18/2010,0,0,0,1,0
